student name,CS101,CS102,ENG102,MATH,SSC1
Ahmed Mohamed,85,90,75,88,92
Sara Ahmed,70,72,80,65,78
Mahmoud Hassan,95,92,88,94,90
Osama REfaat,39,33,54,45,29
Youssef Ali,60,65,70,82,86
Mona Ibrahim,82,49,85,80,84
Ahmed salah,40,35,20,45,55
Omar Khaled,55,58,60,52,56
Mohamed Salah,40,38,51,30,50
Hoda Mostafa,90,85,92,88,89
Hady Ali,42,35,40,38,50
Khaled Mostafa,75,70,68,74,72
Ziad Ahmed,49,59,67,48,48
Rania Yasser,88,84,90,86,92
Tarek Hussein,65,50,72,68,70
Nada Hossam,56,47,38,29,10
Nour Ehab,92,95,89,91,94
Adel Emam,32,18,6,11,55
Salma Hisham,58,80,75,92,79
Mostafa Kamel,84,86,80,85,83
Hossam Habib,10,15,2,19,5
Dina Sameh,62,40,70,45,79
Ahmed Sayed,98,96,90,95,100
Medhat Farouk,84,89,90,80,79
 Wael Sedky,80,88,92,90,91
Malak Ehab,72,98,100,93,90
Magdy Samer,91,92,89,90,98
Ramala Samy,88,79,96,92,77
Mohamed Sherif,100,98,100,100,96
Amer Yehia,89,85,87,90,79
Habiba Abdelrahman,79,96,95,77,90
Jana Hamed,95,77,93,65,88
Malek Nabil,94,75,91,86,84
Galal Tarek,100,100,99,89,96
Anas Rahem,97,98,95,100,99
Ganna Shahen,98,76,93,96,98
Karim Emad,98,95,89,93,97
Zein Walid,92,93,96,92,100
Sara Weaam,99,96,99,100,96
Fatma Nader,91,81,82,73,90
Eman Kasem,99,80,98,83,76
Ehab Tawfik,89,97,93,99,100
Reem Zaher,96,98,90,91,81
Nour Abdelkader,67,70,77,75,85
Rehab Ragab,79,86,88,90,99
Yasser Galal,96,88,93,96,99
Ramez Galal,95,96,97,70,96
Hossam Hassan,56,54,62,49,80
Ibrahim Hassan,56,55,63,44,79
Ahmed Mekky,89,90,100,70,100
Bassem Mohsen,69,88,100,99,90
Saleh Selim,96,97,99,85,93
